chargeDeviceID,reference,name,latitude,longitude,chargeDeviceStatus
cfeedcdd5e287bef4b583158a12363f1,SRC_LDN60188,2 Riddons Road,51.431454,0.031175,In service
cf164e398bebd2384cbbbfe73fa72fcf,SRC_LDN60189,9 Bath Road Car Park,51.480920,-0.419318,Out of service
e2f964e176efb40969652e3249023645,SRC_LDN60190,ACE Cafe London,51.541210,-0.277943,In service
451bf16fff6233cca8d9ad69b31c33b9,SRC_LDN60192,Albemarle Street,51.509939,-0.142737,In service
9165d83699e3d014274f4737d169a2a0,SRC_LDN60193,Alcorn Close,51.378520,-0.202034,In service
e1544ee9437a8407ba1a88ad797fd3e2,SRC_LDN60194,Aldermans Hill,51.618522,-0.111670,In service
6bd1d12cb7b4668d39bd7b9d01a98bad,SRC_LDN60195,Alexandra Road/Holloway Street CP,51.469744,-0.363063,In service
f8411c202a5cf1e26a0eb50979857d44,SRC_LDN60196,Arnos Grove Station Car Park 1,51.616451,-0.132860,In service
9fa0bb67ba754c1b4e5921c3bc837ceb,SRC_LDN60197,Asda Bexleyheath,51.458198,0.142816,In service
47f1adc470baaf1874d79dc4144af95f,SRC_LDN60198,Asda Charlton,51.488779,0.022515,In service
cb306aab7cdb746c2996f02a7b7d1ce4,SRC_LDN60199,Asda Colindale,51.593928,-0.261281,In service
491ef963c5ac9a9136f60c8cb2188636,SRC_LDN60200,Asda Dagenham,51.530281,0.142523,In service
0a3cb8d6a1d544b17d920ff2d36b8c18,SRC_LDN60201,Asda Greenhithe,51.452537,0.275216,In service
c20168038c0e10c441f2c118ac418ee7,SRC_LDN60202,Asda Kingston on Thames,51.411135,-0.289650,In service
ddecc260427b448f88f296b1ef62b8a8,SRC_LDN60203,Asda Leyton,51.555913,-0.009736,In service
4c3860eca356f2a5ee47b2bfc2a9a93e,SRC_LDN60204,Asda Mitcham,51.407436,-0.169209,In service
c6d16d558ca9f98ad8e8fce9b6ded577,SRC_LDN60205,Asda Northolt Road,51.557969,-0.360619,In service
ea407c6c8898c300a60b1f84d8f15d80,SRC_LDN60206,Asda Park Royal,51.529290,-0.269699,In service
219f81cc6c7826d1bb55686944865323,SRC_LDN60207,Asda Roehampton,51.439365,-0.245991,In service
d5253bc36fa24d25543dcc144f93b3dc,SRC_LDN60208,Asda Stamford Hill,51.573702,-0.071216,In service
bb07992b31827afc0b94591957936729,SRC_LDN60209,Asda Swanley ,51.397043,0.174689,In service
1fe73dfba86c3b53a3597c79e251ecb2,SRC_LDN60210,Asda Watford,51.679995,-0.391451,In service
d2803a212b8ca2ea925e3c7242b0b84f,SRC_LDN60211,Asda Wembley,51.564220,-0.275429,In service
1be3614ec5d67a9fe3fd389516f369ea,SRC_LDN60212,Barking Road,51.519913,0.017249,In service
cbbfd74d4cb5aaf24c9e4a10d9f056d9,SRC_LDN60213,Baynard House Car Park 1,51.511987,-0.100486,Out of service
b9f879d2c97fe4e050a153e142f0d9ba,SRC_LDN60214,Belgrave Road Car Park,51.398398,-0.075466,In service
1aa75ead4fb22c7a6f25c91b5c48727e,SRC_LDN60216,Bentley Road Car Park,51.545689,-0.077189,In service
9d9b6df568499e7a2b1e4091229913f3,SRC_LDN60217,Berkeley Square 1,51.509531,-0.144815,In service
8d3fa11102ee509ebf012560ce3dd396,SRC_LDN60219,Biddulph Road,51.528073,-0.187326,Out of service
